Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,34,16,18,0.471,-4.1,-1.1,10,10,8,6,5,10,2452,2500,1375,861,1987,0.433,180,530,0.34,550,757,0.727,329,1139,431,262,72,434,665
2,Air Force,31,9,22,0.29,-4.76,1.44,2,16,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541
3,Akron NCAA,35,24,11,0.686,2.78,-2.07,13,5,13,1,7,6,2577,2316,1405,915,2018,0.453,280,863,0.324,467,642,0.727,363,1278,455,197,100,394,583
4,Alabama NCAA,36,25,11,0.694,20.96,11.43,13,5,14,2,5,5,3263,2920,1450,1110,2327,0.477,402,1085,0.371,641,831,0.771,464,1438,578,254,157,430,719
5,Alabama A&M,35,12,23,0.343,-14.33,-7.5,9,9,7,5,4,15,2414,2653,1405,806,1918,0.42,148,516,0.287,654,906,0.722,394,1248,369,261,136,565,727
6,Alabama State,32,13,19,0.406,-11.71,-6.85,8,10,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609
7,Albany (NY),32,13,19,0.406,-6.61,-5.22,5,11,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621
8,Alcorn State,32,14,18,0.438,-11.56,-5.59,13,5,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567
9,American,32,16,16,0.5,-8.96,-8.79,10,8,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527
10,Appalachian State,34,27,7,0.794,6.06,-2.31,16,2,15,0,8,5,2665,2283,1390,997,2100,0.475,224,674,0.332,447,657,0.68,373,1416,498,209,230,365,449
11,Arizona NCAA,36,27,9,0.75,24.57,9.49,15,5,15,1,7,4,3137,2594,1465,1124,2321,0.484,284,776,0.366,605,844,0.717,471,1533,665,300,133,430,590
12,Arizona State,32,14,18,0.438,4.6,9.57,8,12,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532
13,Arkansas,33,16,17,0.485,6.16,8.19,6,12,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655
14,Arkansas State,37,20,17,0.541,0.31,-1.5,11,7,10,3,5,11,2917,2850,1485,1021,2313,0.441,341,991,0.344,534,761,0.702,489,1419,536,207,163,414,644
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.6,8,10,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568
16,Army,32,10,22,0.313,-14.66,-8.93,6,12,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506
17,Auburn NCAA,35,27,8,0.771,22.5,7.7,13,5,15,1,5,5,2909,2391,1400,1010,2121,0.476,280,795,0.352,609,812,0.75,393,1323,622,258,215,374,678
18,Austin Peay,35,19,16,0.543,-6.1,-4.82,10,6,14,3,4,12,2619,2561,1425,941,2105,0.447,277,768,0.361,460,652,0.706,378,1188,388,250,95,308,615
19,Ball State,31,15,16,0.484,-6.66,-5.9,7,11,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469
20,Baylor NCAA,35,24,11,0.686,19.51,10.72,11,7,15,2,4,5,2814,2489,1430,967,2001,0.483,301,773,0.389,579,791,0.732,399,1229,514,236,110,421,577
21,Bellarmine,31,8,23,0.258,-11.77,-2.45,4,12,6,7,2,16,2153,2320,1250,797,1837,0.434,238,698,0.341,321,412,0.779,245,1002,420,164,60,297,486
22,Belmont,33,20,13,0.606,2.82,1.48,12,8,12,2,6,9,2570,2493,1325,922,1939,0.476,301,811,0.371,425,588,0.723,237,1130,504,248,101,402,511
23,Bethune-Cookman,34,17,17,0.5,-11.85,-8.85,11,7,11,2,5,11,2479,2467,1375,860,1994,0.431,199,620,0.321,560,742,0.755,356,1139,414,351,117,471,696
24,Binghamton,30,15,15,0.5,-9.28,-5.21,7,9,10,4,5,11,2163,2167,1210,801,1738,0.461,164,536,0.306,397,595,0.667,313,1156,435,150,113,366,498
25,Boise State NCAA,33,22,11,0.667,13.32,7.36,13,5,13,3,7,3,2479,2221,1330,858,1913,0.449,258,759,0.34,505,686,0.736,384,1231,404,189,78,366,550
26,Boston College,36,20,16,0.556,9.49,7.27,8,12,10,6,7,7,2667,2587,1450,982,2155,0.456,299,826,0.362,404,539,0.75,338,1271,509,212,124,376,566
27,Boston University,33,16,17,0.485,-9.93,-8.49,10,8,9,7,7,10,2193,2198,1335,768,1856,0.414,254,763,0.333,403,562,0.717,309,1167,427,216,102,384,571
28,Bowling Green State,34,20,14,0.588,-4.91,-5.51,10,8,12,5,5,7,2502,2414,1385,882,2045,0.431,216,730,0.296,522,730,0.715,386,1292,383,221,96,392,533
29,Bradley,35,23,12,0.657,9.52,2.99,13,7,14,3,6,7,2592,2348,1415,943,1999,0.472,306,835,0.366,400,550,0.727,324,1214,463,250,144,423,578
30,Brigham Young NCAA,34,23,11,0.676,19.35,7.88,10,8,16,2,3,7,2768,2378,1360,992,2155,0.46,378,1087,0.348,406,547,0.742,405,1343,629,202,101,364,602
31,Brown,31,13,18,0.419,-3.59,-1.73,8,6,5,7,6,8,2212,2227,1261,782,1818,0.43,254,745,0.341,394,603,0.653,367,1154,417,196,131,385,519
32,Bryant,33,20,13,0.606,-3.06,-3.54,11,5,11,3,8,10,2598,2488,1330,954,2087,0.457,273,806,0.339,417,623,0.669,259,1246,487,230,213,393,557
33,Bucknell,33,14,19,0.424,-8.32,-6.38,10,8,6,8,8,11,2153,2217,1335,758,1770,0.428,269,795,0.338,368,514,0.716,276,1073,399,202,113,405,559
34,Buffalo,31,4,27,0.129,-15.11,-2.81,2,16,2,13,2,11,2108,2471,1245,770,1830,0.421,207,746,0.277,361,504,0.716,323,1082,415,188,141,450,484
35,Butler,33,18,15,0.545,12.09,9.4,9,11,12,6,4,7,2544,2432,1350,922,2036,0.453,276,778,0.355,424,536,0.791,308,1162,499,204,110,361,454
36,Cal Poly,32,4,28,0.125,-13.63,-2.27,0,20,3,11,0,16,2037,2371,1295,719,1778,0.404,198,598,0.331,401,569,0.705,283,1000,314,173,117,405,614
37,Cal State Bakersfield,32,13,19,0.406,-5.35,-2.15,8,12,10,4,2,13,2199,2214,1295,807,1861,0.434,150,476,0.315,435,602,0.723,382,1109,335,220,114,389,652
38,Cal State Fullerton,32,14,18,0.438,-5.14,-1.14,7,13,7,7,6,10,2172,2212,1285,740,1717,0.431,207,627,0.33,485,685,0.708,269,1048,284,214,98,393,571
39,Cal State Northridge,34,19,15,0.559,-4.77,-4.12,9,11,9,7,9,7,2551,2503,1365,940,2065,0.455,165,537,0.307,506,757,0.668,402,1362,472,253,114,481,707
40,California,32,13,19,0.406,4.95,8.02,9,11,10,6,3,8,2367,2465,1310,833,1980,0.421,281,831,0.338,420,578,0.727,343,1189,387,193,83,370,552
41,California Baptist,33,16,17,0.485,-2.3,-2.24,8,12,11,7,4,9,2222,2197,1330,762,1857,0.41,220,674,0.326,478,700,0.683,397,1241,372,133,87,392,524
42,Campbell,32,14,18,0.438,-10.61,-5.65,8,10,11,6,3,11,2272,2307,1295,806,1740,0.463,232,673,0.345,428,590,0.725,246,1040,425,202,77,383,485
43,Canisius,32,14,18,0.438,-7.95,-4.88,8,12,8,4,3,12,2252,2307,1290,841,1910,0.44,232,690,0.336,338,541,0.625,384,1181,401,192,111,432,520
44,Central Arkansas,32,9,23,0.281,-15.68,-5.62,5,11,5,10,4,13,2309,2502,1285,817,1965,0.416,256,747,0.343,419,566,0.74,359,1165,437,225,105,407,548
45,Central Connecticut State,31,20,11,0.645,-8.16,-10.16,13,3,11,4,9,7,2237,2061,1250,810,1798,0.451,208,645,0.322,409,577,0.709,298,1111,444,232,150,349,423
46,Central Michigan,32,18,14,0.563,-8.05,-3.57,12,6,10,3,7,9,2127,2242,1315,790,1880,0.42,200,660,0.303,347,526,0.66,339,1162,364,192,119,384,527
47,Charleston Southern,30,10,20,0.333,-12.01,-1.57,6,10,7,7,3,12,2028,2210,1200,715,1727,0.414,208,629,0.331,390,530,0.736,301,1066,306,115,90,366,512
48,Charlotte,31,19,12,0.613,4.1,2.44,13,5,13,2,5,7,2131,2034,1250,748,1655,0.452,201,635,0.317,434,576,0.753,260,1006,407,168,105,301,479
49,Chattanooga,33,21,12,0.636,-0.18,-3.83,12,6,12,4,8,7,2581,2362,1335,892,1915,0.466,349,971,0.359,448,601,0.745,305,1206,447,208,121,393,524
50,Chicago State,32,13,19,0.406,-9.33,-3.02,,,6,5,5,12,2224,2258,1285,771,1816,0.425,201,641,0.314,481,676,0.712,389,1074,354,277,103,422,559
51,Cincinnati,37,22,15,0.595,15.07,8.5,7,11,16,5,4,8,2765,2522,1500,1023,2310,0.443,280,849,0.33,439,638,0.688,492,1460,540,240,164,445,555
52,Clemson NCAA,36,24,12,0.667,16.23,10.07,11,9,12,4,6,6,2785,2563,1450,991,2115,0.469,296,844,0.351,507,650,0.78,326,1308,533,165,138,363,585
53,Cleveland State,36,21,15,0.583,-3.45,-4.42,11,9,14,3,6,10,2717,2622,1450,1005,2246,0.447,232,697,0.333,475,711,0.668,455,1267,477,297,140,370,658
